product_id,stock_quantity,sold_quantity,buying_price,selling_price,days_since_last_purchase,margin
54,100,71,9.2,10,761,0.8
55,90,76,14.72,16,761,1.28
56,55,51,13.8,15,761,1.2
57,100,105,41.4,45,761,3.6
58,155,85,69,75,761,6
59,110,111,2.024,2.2,761,0.176
60,55,48,7.82,8.5,761,0.68
61,175,159,3.68,4,761,0.32
62,25,33,11.04,12,761,0.96
63,95,98,5.06184,5.502,761,0.44016
64,35,24,12.88,14,761,1.12
65,45,36,16.56,18,761,1.44
66,20,35,18.4,20,761,1.6
67,60,58,11.04,12,761,0.96
68,20,34,9.2,10,761,0.8
69,95,72,14.72,16,761,1.28
70,30,22,32.20184,35.002,761,2.80016
71,25,21,55.2,60,761,4.8
72,50,51,41.4,45,761,3.6
73,115,92,9.2,10,761,0.8
74,10,2,9.2,10,761,0.8
75,5,11,11.96,13,761,1.04
76,20,14,11.04,12,761,0.96
77,20,22,32.2,35,761,2.8
78,35,27,41.4,45,761,3.6
79,20,11,59.8,65,761,5.2
80,60,49,11.96,13,761,1.04
81,60,50,6.44,7,761,0.56
82,45,54,1.84,2,761,0.16
83,55,51,9.2,10,761,0.8
84,70,66,18.4,20,761,1.6
85,85,63,41.4,45,761,3.6
86,45,45,11.96,13,761,1.04
87,45,50,18.4,20,761,1.6
88,30,31,25.7623,28.0025,761,2.2402
89,50,63,0.92,1,761,0.08
90,55,30,1.84,2,761,0.16
91,65,59,1.84,2,761,0.16
92,110,103,4.6,5,761,0.4
93,95,77,7.36,8,761,0.64
94,115,85,11.96,13,761,1.04
95,90,73,23,25,761,2
96,85,65,16.376,17.8,761,1.424
97,0,0,510.6,555,761,44.4
98,30,24,87.4,95,761,7.6
99,30,24,138,150,761,12
100,90,70,18.4,20,761,1.6
101,55,56,13.8,15,761,1.2
102,95,88,13.8,15,761,1.2
103,60,52,50.6,55,761,4.4
104,90,80,55.2,60,761,4.8
105,110,99,64.4,70,761,5.6
106,125,103,110.4,120,761,9.6
107,65,50,110.4,120,761,9.6
108,130,110,28.704,31.2,761,2.496
109,25,27,46,50,761,4
110,40,40,27.6,30,761,2.4
111,45,40,23,25,761,2
112,35,38,368,400,761,32
113,30,29,0.77280077280077,0.84000084000084,761,0.067200067200067
114,20,24,368,400,761,32
115,25,21,478.4,520,761,41.6
116,105,112,13.8,15,761,1.2
117,25,19,9.2,10,761,0.8
118,50,37,18.4,20,761,1.6
119,15,13,27.6,30,761,2.4
120,20,19,44.16,48,761,3.84
121,20,27,230,250,761,20
122,15,13,1.84,2,761,0.16
123,20,18,6.44,7,761,0.56
124,20,20,6.44,7,761,0.56
125,30,29,7.36,8,761,0.64
126,35,37,1.84,2,761,0.16
127,15,21,16.56,18,761,1.44
128,30,34,17.48,19,761,1.52
129,60,43,0.92,1,761,0.08
130,60,60,23,25,761,2
131,65,51,69,75,761,6
132,30,19,59.8,65,761,5.2
133,35,21,170.2,185,761,14.8
134,15,6,13.8,15,761,1.2
135,35,37,23,25,761,2
136,20,15,41.4,45,761,3.6
137,15,21,87.4,95,761,7.6
138,20,9,27.6,30,761,2.4
139,15,7,78.2,85,761,6.8
140,105,71,0.736,0.8,761,0.064
141,115,94,0.92,1,761,0.08
142,65,56,0.92,1,761,0.08
143,45,44,6.44,7,761,0.56
144,25,32,18.4,20,761,1.6
145,15,18,59.8,65,761,5.2
146,25,13,46,50,761,4
147,10,4,450.8,490,761,39.2
148,15,12,165.6,180,761,14.4
149,30,37,193.2,210,761,16.8
150,20,20,15.64,17,761,1.36
151,25,31,41.4,45,761,3.6
152,15,17,1.84,2,761,0.16
153,20,17,1.84,2,761,0.16
154,20,13,3.68,4,761,0.32
155,10,14,6.44,7,761,0.56
156,25,15,2.76,3,761,0.24
157,25,18,1.84,2,761,0.16
158,5,9,11.96,13,761,1.04
159,30,36,9.2,10,761,0.8
160,125,124,0.92,1,761,0.08
161,130,100,1.84,2,761,0.16
162,110,87,13.8,15,761,1.2
163,105,107,18.4,20,761,1.6
164,140,116,2.76,3,761,0.24
165,40,44,4.6,5,761,0.4
166,40,41,4.6,5,761,0.4
167,75,64,11.5,12.5,761,1
168,80,71,78.2,85,761,6.8
169,65,87,2.76,3,761,0.24
170,60,70,207,225,761,18
171,70,58,8.28,9,761,0.72
172,55,50,3.68,4,761,0.32
173,80,71,8.28,9,761,0.72
174,40,29,13.8,15,761,1.2
175,50,39,3.22,3.5,761,0.28
176,70,62,46,50,761,4
177,120,93,13.8,15,761,1.2
178,45,36,207,225,761,18
179,80,76,7.36,8,761,0.64
180,25,23,36.8,40,761,3.2
181,60,75,46,50,761,4
182,60,63,32.2,35,761,2.8
183,70,51,50.6,55,761,4.4
184,135,111,73.6,80,761,6.4
185,110,118,4.6,5,761,0.4
186,175,140,2.3,2.5,761,0.2
187,175,161,3.68,4,761,0.32
188,70,93,13.8,15,761,1.2
189,100,95,23,25,761,2
190,120,131,59.8,65,761,5.2
191,140,113,64.4,70,761,5.6
192,215,188,4.6,5,761,0.4
193,175,143,3.22,3.5,761,0.28
194,160,147,6.9,7.5,761,0.6
195,110,99,18.4,20,761,1.6
196,165,139,16.56,18,761,1.44
197,155,152,26.68,29,761,2.32
198,175,173,0.368,0.4,761,0.032
199,205,155,0.92,1,761,0.08
200,80,74,98.44,107,761,8.56
201,75,54,154.56,168,761,13.44
202,90,83,18.4,20,761,1.6
203,70,58,18.4,20,761,1.6
204,25,19,1275.12,1386,761,110.88
205,110,101,27.6,30,761,2.4
206,15,8,32.2,35,761,2.8
207,100,92,61.64,67,761,5.36
208,110,106,67.16,73,761,5.84
209,15,9,0.92,1,761,0.08
210,30,23,1.84,2,761,0.16
211,15,14,3.68,4,761,0.32
212,30,18,5.52,6,761,0.48
213,15,6,55.2,60,761,4.8
214,30,25,41.4,45,761,3.6
215,20,16,41.4,45,761,3.6
216,40,34,50.6,55,761,4.4
217,35,29,354.2,385,761,30.8
218,10,13,5106,5550,761,444
219,15,23,4.6,5,761,0.4
220,15,18,0.46,0.5,761,0.04
221,25,19,12.88,14,761,1.12
222,25,19,7.36,8,761,0.64
223,20,7,11.04,12,761,0.96
224,40,29,32.2,35,761,2.8
225,45,30,41.4,45,761,3.6
226,45,43,69,75,761,6
227,35,32,322,350,761,28
228,20,27,349.6,380,761,30.4
229,15,18,138,150,761,12
230,90,74,9.2,10,761,0.8
231,135,104,0.92,1,761,0.08
232,85,85,27.6,30,761,2.4
233,120,134,27.6,30,761,2.4
234,60,38,32.2,35,761,2.8
235,35,20,69,75,761,6
236,25,37,18.4,20,761,1.6
237,35,29,27.6,30,761,2.4
238,20,20,13.8,15,761,1.2
239,10,12,32.2,35,761,2.8
240,30,23,41.4,45,761,3.6
241,30,38,41.4,45,761,3.6
242,30,29,1.242,1.35,761,0.108
243,35,33,64.399938666667,69.999933333333,761,5.5999946666667
244,30,29,2.76,3,761,0.24
245,10,11,3.588,3.9,761,0.312
246,25,16,15.64,17,761,1.36
247,40,31,7.82,8.5,761,0.68
248,15,22,13.8,15,761,1.2
249,95,87,1324.8,1440,761,115.2
250,60,77,124.2,135,761,10.8
251,140,130,287.04,312,761,24.96
252,40,42,151.80092,165.001,761,13.20008
253,15,18,225.4,245,761,19.6
254,25,17,312.8,340,761,27.2
255,45,35,276,300,761,24
256,95,95,923.68,1004,761,80.32
257,45,54,1380,1500,761,120
258,140,111,874,950,761,76
259,155,135,119.6,130,761,10.4
260,85,112,165.6,180,761,14.4
261,120,113,552,600,761,48
262,125,104,151.8,165,761,13.2
263,35,42,41.4,45,761,3.6
264,45,34,41.4,45,761,3.6
265,30,30,184,200,761,16
266,25,32,55.2,60,761,4.8
267,50,43,59.8,65,761,5.2
268,100,89,36.8,40,761,3.2
269,20,20,46,50,761,4
270,120,111,96.6,105,761,8.4
271,25,24,18.4,20,761,1.6
272,15,25,533.6,580,761,46.4
273,15,17,41.4,45,761,3.6
274,15,20,9.2,10,761,0.8
275,20,20,8.28,9,761,0.72
276,55,48,2.76,3,761,0.24
277,5,5,3.68,4,761,0.32
278,30,19,13.8,15,761,1.2
279,35,27,2.9272727272727,3.1818181818182,761,0.25454545454545
280,35,31,23,25,761,2
281,10,8,5.52,6,761,0.48
282,35,31,4.6,5,761,0.4
283,20,15,7.36,8,761,0.64
284,15,14,1.38,1.5,761,0.12
285,15,23,4.6,5,761,0.4
286,40,29,2.76,3,761,0.24
287,145,142,16.56,18,761,1.44
288,100,104,16.56,18,761,1.44
289,65,71,5.52,6,761,0.48
290,85,88,1.38,1.5,761,0.12
291,65,81,11.04,12,761,0.96
292,25,27,230,250,761,20
293,35,45,82.34,89.5,761,7.16
294,10,19,274.16,298,761,23.84
295,65,69,34.96,38,761,3.04
296,60,71,73.6,80,761,6.4
297,35,31,133.4023,145.0025,761,11.6002
298,45,46,23,25,761,2
299,30,37,32.2,35,761,2.8
300,65,52,11.04,12,761,0.96
301,65,62,23,25,761,2
302,80,68,36.8,40,761,3.2
303,50,35,55.2,60,761,4.8
304,100,72,18.4,20,761,1.6
305,90,75,32.2,35,761,2.8
306,25,25,354.2,385,761,30.8
307,50,49,82.8,90,761,7.2
308,65,64,2.76,3,761,0.24
309,55,45,9.2,10,761,0.8
310,65,57,7.36,8,761,0.64
311,60,62,5.52,6,761,0.48
312,75,56,1.84,2,761,0.16
313,25,32,1.84,2,761,0.16
314,55,54,2.76,3,761,0.24
315,65,69,2.76,3,761,0.24
316,60,46,1.38,1.5,761,0.12
317,95,74,1.84,2,761,0.16
318,90,75,4.6,5,761,0.4
319,120,99,7.36,8,761,0.64
320,115,82,9.2,10,761,0.8
321,110,100,1.84,2,761,0.16
322,25,25,1.84,2,761,0.16
323,35,46,27.6,30,761,2.4
324,15,12,32.2,35,761,2.8
325,25,24,16.56,18,761,1.44
326,30,25,11.04,12,761,0.96
327,35,22,15.64,17,761,1.36
328,40,36,1.38,1.5,761,0.12
329,50,27,1.84,2,761,0.16
330,95,83,16.56,18,761,1.44
331,60,45,13.8,15,761,1.2
332,60,43,46,50,761,4
333,45,33,1.84,2,761,0.16
334,110,88,1.84,2,761,0.16
335,85,78,3.68,4,761,0.32
336,25,27,5.52,6,761,0.48
337,90,83,5.52,6,761,0.48
338,120,101,8.28,9,761,0.72
339,50,31,18.4,20,761,1.6
340,30,23,18.4,20,761,1.6
341,20,15,13.8,15,761,1.2
342,25,21,32.2,35,761,2.8
343,25,15,276,300,761,24
344,15,27,386.4,420,761,33.6
345,15,8,179.4,195,761,15.6
346,10,11,73.6,80,761,6.4
347,70,56,6.44,7,761,0.56
348,20,18,23,25,761,2
349,15,7,31.28,34,761,2.72
350,30,17,25.76,28,761,2.24
351,45,46,25.76,28,761,2.24
352,0,6,13.8,15,761,1.2
353,35,46,53.36,58,761,4.64
354,20,14,4.6,5,761,0.4
355,20,19,1.84,2,761,0.16
356,25,28,0.92,1,761,0.08
357,70,71,4.6,5,761,0.4
358,65,60,1.38,1.5,761,0.12
359,45,49,27.6,30,761,2.4
360,35,39,5.52,6,761,0.48
361,50,38,41.4,45,761,3.6
362,30,40,15.64,17,761,1.36
363,70,73,1.38,1.5,761,0.12
364,0,4,27.6,30,761,2.4
365,15,23,23,25,761,2
366,10,11,3.68,4,761,0.32
367,35,30,46,50,761,4
368,15,19,46,50,761,4
369,25,17,64.4,70,761,5.6
370,50,44,41.4,45,761,3.6
371,5,12,8.28,9,761,0.72
372,105,114,36.8,40,761,3.2
373,10,2,4.14,4.5,761,0.36
374,15,15,13.8,15,761,1.2
375,0,4,16.56,18,761,1.44
376,25,18,20.24,22,761,1.76
377,110,114,0.368,0.4,761,0.032
378,30,39,27.6,30,761,2.4
379,65,77,4.14,4.5,761,0.36
380,55,49,5.52,6,761,0.48
381,35,40,11.04,12,761,0.96
382,85,65,13.8,15,761,1.2
383,50,40,41.4,45,761,3.6
384,70,55,0.138,0.15,761,0.012
385,30,23,0.92,1,761,0.08
386,20,30,1.84,2,761,0.16
387,15,7,2.76,3,761,0.24
388,45,41,1.84,2,761,0.16
389,65,47,0.736,0.8,761,0.064
390,25,20,2.76,3,761,0.24
391,50,66,5.52,6,761,0.48
392,60,58,0.92,1,761,0.08
393,45,29,4.6,5,761,0.4
394,30,33,1.84,2,761,0.16
395,30,25,2.76,3,761,0.24
396,60,57,5.52,6,761,0.48
397,75,58,8.28,9,761,0.72
398,35,30,0.92,1,761,0.08
399,40,30,18.4,20,761,1.6
400,35,22,18.4,20,761,1.6
401,35,47,3.68,4,761,0.32
402,60,55,4.6,5,761,0.4
403,45,55,4.6,5,761,0.4
404,25,23,13.8,15,761,1.2
405,20,2,13.8,15,761,1.2
406,15,5,16.56,18,761,1.44
407,20,11,13.8,15,761,1.2
408,35,36,41.4,45,761,3.6
409,40,43,18.4,20,761,1.6
410,30,28,92,100,761,8
411,35,20,27.6,30,761,2.4
412,125,113,1.38,1.5,761,0.12
413,130,132,0.736,0.8,761,0.064
414,45,58,1.84,2,761,0.16
415,10,3,9.2,10,761,0.8
416,90,55,2.76,3,761,0.24
417,50,34,4.14,4.5,761,0.36
418,15,9,446.2,485,761,38.8
419,95,81,87.4,95,761,7.6
420,110,89,5.06,5.5,761,0.44
421,165,141,3.22,3.5,761,0.28
422,110,116,5.52,6,761,0.48
423,65,49,13.8,15,761,1.2
424,110,107,29.44,32,761,2.56
425,100,79,50.6,55,761,4.4
426,90,98,156.4,170,761,13.6
427,180,155,8.28,9,761,0.72
428,180,175,6.44,7,761,0.56
429,145,125,9.2,10,761,0.8
430,95,96,8.28,9,761,0.72
431,45,52,8.28,9,761,0.72
432,65,68,25.76,28,761,2.24
433,80,69,50.6,55,761,4.4
434,45,40,10.12,11,761,0.88
435,25,16,57.96,63,761,5.04
436,25,26,1.84,2,761,0.16
437,10,11,4.6,5,761,0.4
438,25,18,1.84,2,761,0.16
439,25,23,2.76,3,761,0.24
440,35,34,27.6,30,761,2.4
441,25,11,3.68,4,761,0.32
442,10,9,7.36,8,761,0.64
443,20,35,13.8,15,761,1.2
444,65,29,3.68,4,761,0.32
445,90,87,11.04,12,761,0.96
446,45,40,13.8,15,761,1.2
447,70,86,1.84,2,761,0.16
448,80,75,6.44,7,761,0.56
449,40,47,13.8,15,761,1.2
450,45,57,18.4,20,761,1.6
451,5,7,9.2,10,761,0.8
452,55,48,32.2,35,761,2.8
453,45,47,230,250,761,20
454,60,35,9.2,10,761,0.8
455,45,45,22.08,24,761,1.92
456,25,18,634.8,690,761,55.2
457,20,20,92,100,761,8
458,55,63,2.76,3,761,0.24
459,170,161,1.472,1.6,761,0.128
460,115,130,3.22,3.5,761,0.28
461,120,108,1.196,1.3,761,0.104
462,90,80,4.6,5,761,0.4
463,10,17,616.40032857143,670.00035714286,761,53.600028571429
464,15,17,335.8,365,761,29.2
465,15,21,266.8,290,761,23.2
466,30,21,257.6,280,761,22.4
467,15,21,7.36,8,761,0.64
468,5,15,10.12,11,761,0.88
469,20,21,56.12,61,761,4.88
470,20,15,56.12,61,761,4.88
471,15,16,78.2,85,761,6.8
472,20,21,220.8,240,761,19.2
473,20,9,62.56,68,761,5.44
474,30,24,32.2,35,761,2.8
475,45,34,24.84,27,761,2.16
476,25,28,50.6,55,761,4.4
477,20,25,179.4,195,761,15.6
478,10,13,147.2,160,761,12.8
479,15,16,56.12,61,761,4.88
480,20,20,55.2,60,761,4.8
481,25,25,28.98,31.5,761,2.52
482,15,24,13.34,14.5,761,1.16
483,45,30,25.76,28,761,2.24
484,0,0,966,1050,761,84
485,0,0,1794,1950,761,156
486,15,22,87.4,95,761,7.6
487,40,33,45.08,49,761,3.92
488,5,10,10.488,11.4,761,0.912
489,5,12,46,50,761,4
490,20,16,73.6,80,761,6.4
491,30,24,36.8,40,761,3.2
492,15,13,35.88,39,761,3.12
493,55,27,14.72,16,761,1.28
494,15,23,78.2,85,761,6.8
495,20,15,17.48,19,761,1.52
496,50,29,18.4,20,761,1.6
497,25,26,82.8,90,761,7.2
498,30,28,87.4,95,761,7.6
499,25,19,103.04,112,761,8.96
500,20,19,37.72,41,761,3.28
501,30,21,49.68,54,761,4.32
502,35,34,16.56,18,761,1.44
503,25,25,14.26,15.5,761,1.24
504,25,21,34.96,38,761,3.04
505,25,18,35.88,39,761,3.12
506,35,43,85.56,93,761,7.44
507,20,14,78.2,85,761,6.8
508,0,0,1251.2,1360,761,108.8
509,0,0,119.6,130,761,10.4
510,0,0,625.6,680,761,54.4
511,0,0,340.4,370,761,29.6
512,0,0,289.8,315,761,25.2
513,0,0,510.6,555,761,44.4
514,20,2,59.8,65,761,5.2
515,0,0,19.32,21,761,1.68
516,30,20,73.6,80,761,6.4
517,15,4,32.2,35,761,2.8
518,0,0,174.8,190,761,15.2
519,125,133,0.368,0.4,761,0.032
520,150,160,0.92,1,761,0.08
521,110,123,1.84,2,761,0.16
522,25,20,128.8,140,761,11.2
523,15,10,12.88,14,761,1.12
524,25,27,4.14,4.5,761,0.36
525,20,16,2.76,3,761,0.24
526,25,17,19.32,21,761,1.68
527,80,77,59.8,65,761,5.2
528,130,118,4.6,5,761,0.4
529,60,43,15.64,17,761,1.36
530,145,148,3.68,4,761,0.32
531,30,23,15.64,17,761,1.36
532,145,144,10.12,11,761,0.88
533,70,80,15.64,17,761,1.36
534,90,88,16.56,18,761,1.44
535,100,80,46,50,761,4
536,45,34,69,75,761,6
537,105,98,14.72,16,761,1.28
538,40,48,9.2,10,761,0.8
539,125,116,3.22,3.5,761,0.28
540,135,164,4.6,5,761,0.4
541,85,91,11.04,12,761,0.96
542,55,42,13.8,15,761,1.2
543,100,114,9.2,10,761,0.8
544,70,59,4.6,5,761,0.4
545,55,37,1.38,1.5,761,0.12
546,65,62,9.2,10,761,0.8
547,45,50,4.6,5,761,0.4
548,45,34,7.36,8,761,0.64
549,20,13,27.6,30,761,2.4
550,20,6,23,25,761,2
551,30,26,27.6,30,761,2.4
552,35,37,23,25,761,2
553,45,51,25.76,28,761,2.24
554,20,27,55.2,60,761,4.8
555,65,52,184,200,761,16
556,25,14,230,250,761,20
557,30,25,114.08,124,761,9.92
558,10,7,221.72,241,761,19.28
559,25,25,460,500,761,40
560,20,29,506,550,761,44
561,55,38,11.96,13,761,1.04
562,0,0,1844.6,2005,761,160.4
563,20,17,15.64,17,761,1.36
564,70,55,43.24,47,761,3.76
565,20,18,5.52,6,761,0.48
566,30,27,46,50,761,4
567,10,8,36.8,40,761,3.2
568,25,22,6.44,7,761,0.56
569,15,21,13.8,15,761,1.2
570,10,19,5.52,6,761,0.48
571,85,69,9.2,10,761,0.8
572,135,99,3.22,3.5,761,0.28
573,35,32,13.8,15,761,1.2
574,40,30,41.4,45,761,3.6
575,100,82,6.44,7,761,0.56
576,20,9,32.2,35,761,2.8
577,80,67,13.8,15,761,1.2
578,25,30,1.84,2,761,0.16
579,80,75,7.36,8,761,0.64
580,80,78,9.2,10,761,0.8
581,75,71,1.932,2.1,761,0.168
582,45,46,4.6,5,761,0.4
583,20,15,3.22,3.5,761,0.28
584,55,56,5.52,6,761,0.48
585,65,52,13.8,15,761,1.2
586,70,61,13.8,15,761,1.2
587,40,38,7.36,8,761,0.64
588,75,63,9.2,10,761,0.8
589,40,34,78.2,85,761,6.8
590,15,7,46,50,761,4
591,20,14,23,25,761,2
592,25,17,93.84,102,761,8.16
593,25,20,41.4,45,761,3.6
594,15,11,92,100,761,8
595,30,26,45.08,49,761,3.92
596,30,28,266.8,290,761,23.2
597,30,22,322,350,761,28
598,30,26,69,75,761,6
599,20,14,50.6,55,761,4.4
600,30,29,20.24,22,761,1.76
601,15,3,32.2,35,761,2.8
602,15,23,23,25,761,2
603,10,9,87.4,95,761,7.6
604,35,33,29.44,32,761,2.56
605,25,22,82.8,90,761,7.2
606,10,4,50.6,55,761,4.4
607,20,15,32.2,35,761,2.8
608,10,7,92,100,761,8
609,35,29,1.84,2,761,0.16
610,40,37,32.2,35,761,2.8
611,15,20,73.6,80,761,6.4
612,5,7,22.08,24,761,1.92
613,30,24,25.76,28,761,2.24
614,15,25,368,400,761,32
615,25,19,335.8,365,761,29.2
616,20,21,82.8,90,761,7.2
617,140,127,1.84,2,761,0.16
618,145,180,2.3,2.5,761,0.2
619,45,41,78.2,85,761,6.8
620,15,21,1794,1950,761,156
621,20,25,92,100,761,8
622,25,15,552,600,761,48
623,25,33,50.6,55,761,4.4
624,25,20,690,750,761,60
625,15,18,782,850,761,68
626,30,17,496.8,540,761,43.2
627,10,14,552,600,761,48
628,15,12,818.8,890,761,71.2
629,5,6,414,450,761,36
630,20,28,40.48,44,761,3.52
631,25,18,50.6,55,761,4.4
632,30,21,166.52,181,761,14.48
633,15,14,13.8,15,761,1.2
634,25,22,9.66,10.5,761,0.84
635,30,28,4.6,5,761,0.4
636,5,9,26.68,29,761,2.32
637,20,15,43.24,47,761,3.76
638,20,23,18.4,20,761,1.6
639,40,33,82.8,90,761,7.2
640,10,7,41.4,45,761,3.6
641,40,32,105.8,115,761,9.2
642,25,24,239.2,260,761,20.8
643,5,4,151.8,165,761,13.2
644,30,30,782,850,761,68
645,15,16,22.08,24,761,1.92
646,80,68,16.56,18,761,1.44
647,15,6,23,25,761,2
648,10,3,27.6,30,761,2.4
649,80,72,22.08,24,761,1.92
650,25,26,23,25,761,2
651,10,3,16.56,18,761,1.44
652,70,66,16.56,18,761,1.44
653,25,22,18.4,20,761,1.6
654,30,34,23,25,761,2
655,60,63,11.04,12,761,0.96
656,15,6,13.8,15,761,1.2
657,60,58,16.56,18,761,1.44
658,0,0,22.08,24,761,1.92
659,0,0,42.32,46,761,3.68
660,0,0,1.38,1.5,761,0.12
661,0,0,5.52,6,761,0.48
662,0,0,9.2,10,761,0.8
663,0,0,16.56,18,761,1.44
